epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.7291,1.40852,1.88495,2.04987,1.31407,0.49533,0.42176,0.39028,0.1539,0.4507,0.35588,0.29068,0.0762,1.71723,1.18458,5.22352,1.56371,0.000665339,0.000665339,0.000665339
2,183.565,1.46616,1.73013,1.55773,1.34697,0.56059,0.53012,0.48811,0.20396,0.50429,0.44578,0.35441,0.08953,1.56071,1.13873,6.71785,1.36023,0.00131882,0.00131882,0.00131882
3,269.317,1.41929,1.68033,1.40789,1.32178,0.30055,0.53012,0.26315,0.10503,0.22615,0.40161,0.15562,0.03797,1.56109,1.07369,6.81993,1.3419,0.0019591,0.0019591,0.0019591
4,354.759,1.33949,1.65386,1.32964,1.28852,0.50835,0.57028,0.46484,0.19067,0.47673,0.5261,0.38876,0.12053,1.52711,1.06455,2.86484,1.28275,0.0019406,0.0019406,0.0019406
5,439.578,1.28498,1.63099,1.27422,1.26259,0.63335,0.59438,0.58331,0.29269,0.52207,0.48193,0.37207,0.0936,1.38508,1.0727,3.07571,1.27096,0.0019208,0.0019208,0.0019208
6,524.578,1.22801,1.62643,1.20593,1.23041,0.68816,0.61446,0.59157,0.30484,0.6366,0.56225,0.49965,0.15369,1.38214,1.18228,1.41997,1.19497,0.001901,0.001901,0.001901
7,609.455,1.18617,1.60993,1.16253,1.21831,0.8102,0.68675,0.70425,0.41576,0.68829,0.58233,0.51736,0.15943,1.14614,1.00508,2.25581,1.1081,0.0018812,0.0018812,0.0018812
8,694.665,1.15678,1.57961,1.12232,1.20325,0.76484,0.66667,0.70102,0.3725,0.74318,0.57831,0.54395,0.1676,1.23693,1.02365,2.71208,1.13018,0.0018614,0.0018614,0.0018614
9,781.486,1.15251,1.61779,1.10854,1.19977,0.70744,0.68949,0.67958,0.41307,0.59206,0.57704,0.46259,0.14711,1.13865,1.0487,2.02707,1.06233,0.0018416,0.0018416,0.0018416
10,868.136,1.12027,1.57213,1.09231,1.18512,0.72149,0.67068,0.66261,0.41074,0.6142,0.56264,0.47431,0.14274,1.07279,1.05184,2.00844,1.03379,0.0018218,0.0018218,0.0018218
11,954.011,1.10753,1.57017,1.07856,1.17691,0.70037,0.67068,0.70928,0.4356,0.64614,0.53815,0.51114,0.15666,1.09016,1.03078,2.17838,1.05551,0.001802,0.001802,0.001802
12,1040.24,1.08976,1.5489,1.04052,1.1695,0.77562,0.65249,0.72059,0.46095,0.6142,0.59036,0.50531,0.17008,1.08573,0.99741,1.33538,1.04426,0.0017822,0.0017822,0.0017822
13,1127,1.06886,1.54075,1.03193,1.15132,0.74024,0.69076,0.67973,0.39428,0.59282,0.55823,0.47347,0.12513,1.16533,1.06298,1.93494,1.04574,0.0017624,0.0017624,0.0017624
14,1213.46,1.06682,1.56385,1.01311,1.16388,0.77046,0.68675,0.72457,0.48316,0.70398,0.5743,0.54634,0.17614,1.01929,1.05092,1.2491,0.97062,0.0017426,0.0017426,0.0017426
15,1299.62,1.05843,1.52456,0.99309,1.15643,0.77493,0.67068,0.72734,0.45566,0.66461,0.5743,0.53066,0.17603,1.05771,1.02635,1.46585,1.00899,0.0017228,0.0017228,0.0017228
16,1385.72,1.04186,1.53,0.97876,1.14062,0.75366,0.68808,0.71675,0.4747,0.67478,0.60643,0.55299,0.18499,1.02596,1.01258,1.25493,0.98676,0.001703,0.001703,0.001703
17,1472.32,1.04431,1.52345,0.96518,1.14735,0.76114,0.69106,0.73228,0.48807,0.65633,0.60643,0.57799,0.19261,0.99486,0.99806,1.15789,0.9559,0.0016832,0.0016832,0.0016832
18,1558.82,1.02321,1.50448,0.97688,1.13922,0.82254,0.68876,0.74373,0.4906,0.69931,0.59438,0.57159,0.19453,0.99033,0.98653,1.35581,0.99137,0.0016634,0.0016634,0.0016634
