epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.981,3.66269,3.29013,3.80143,3.48685,0.03145,0.16867,0.01675,0.00353,0.02686,0.10843,0.00888,0.00121,2.8405,1.56469,22.2448,2.14539,0.000665339,0.000665339,0.000665339
2,362.106,2.81199,2.05345,2.74657,2.79765,0.12687,0.21687,0.07596,0.01411,0.08819,0.18474,0.04639,0.00691,2.52122,1.25656,7.46206,1.83235,0.00131882,0.00131882,0.00131882
3,537.832,2.55137,1.89098,2.49832,2.54511,0.11393,0.26104,0.07079,0.01404,0.09706,0.21285,0.0509,0.00739,2.46738,1.1506,14.117,1.78122,0.0019591,0.0019591,0.0019591
4,712.668,2.28201,1.84293,2.22828,2.29838,0.27673,0.31727,0.21573,0.05569,0.31745,0.43373,0.22372,0.0492,2.20696,1.11247,6.44855,1.61499,0.0019406,0.0019406,0.0019406
5,887.385,2.12621,1.79705,2.07037,2.13746,0.27001,0.36145,0.20836,0.06033,0.19516,0.27309,0.11593,0.0248,2.0954,1.10254,6.21114,1.49582,0.0019208,0.0019208,0.0019208
6,1062.7,1.93045,1.77311,1.92318,1.97561,0.29313,0.39759,0.22907,0.05482,0.26324,0.38554,0.19843,0.04697,2.10061,1.1435,4.26294,1.51907,0.001901,0.001901,0.001901
7,1237.99,1.78489,1.70799,1.7584,1.85239,0.31771,0.5261,0.32361,0.11931,0.2577,0.41365,0.20237,0.04157,1.87801,1.09901,8.32134,1.39564,0.0018812,0.0018812,0.0018812
8,1412.8,1.69436,1.72351,1.68257,1.76883,0.32298,0.52879,0.34202,0.13962,0.2507,0.44074,0.21805,0.05719,1.78229,1.08175,5.51439,1.36907,0.0018614,0.0018614,0.0018614
9,1588.07,1.61529,1.65954,1.56531,1.7063,0.41835,0.51004,0.40659,0.1557,0.36512,0.57511,0.28683,0.07408,1.75178,1.0735,6.19673,1.2848,0.0018416,0.0018416,0.0018416
10,1763.54,1.53563,1.66294,1.45921,1.63931,0.42348,0.60241,0.43617,0.20638,0.34446,0.54618,0.2779,0.08099,1.61156,1.06293,6.71104,1.30626,0.0018218,0.0018218,0.0018218
11,1938.49,1.49635,1.6646,1.42843,1.60823,0.44651,0.4739,0.4651,0.19908,0.39751,0.52209,0.3467,0.0999,1.58394,1.06042,4.353,1.34073,0.001802,0.001802,0.001802
12,2113.86,1.44005,1.64094,1.39195,1.56777,0.55368,0.59438,0.54147,0.2836,0.46446,0.5502,0.3933,0.12077,1.38161,1.02412,4.11956,1.23787,0.0017822,0.0017822,0.0017822
13,2289.61,1.41851,1.65072,1.34642,1.54413,0.57532,0.57831,0.53474,0.263,0.44513,0.51004,0.37102,0.1073,1.47222,1.04913,4.29144,1.20774,0.0017624,0.0017624,0.0017624
14,2465.2,1.38191,1.62556,1.31861,1.51997,0.65248,0.60643,0.60271,0.29694,0.54012,0.55186,0.38725,0.11306,1.39623,1.0791,2.85122,1.1413,0.0017426,0.0017426,0.0017426
15,2640.52,1.36403,1.61129,1.3074,1.4998,0.60736,0.59438,0.58617,0.31094,0.49422,0.51015,0.42551,0.12437,1.28135,1.05864,4.28253,1.15492,0.0017228,0.0017228,0.0017228
16,2815.56,1.32396,1.59968,1.25588,1.46956,0.63281,0.62651,0.59181,0.32034,0.53204,0.58901,0.4513,0.14281,1.29872,1.03369,3.98401,1.13599,0.001703,0.001703,0.001703
17,2990.86,1.31746,1.60969,1.25263,1.46444,0.61417,0.57831,0.58068,0.33456,0.47452,0.50409,0.36537,0.10724,1.31495,1.04877,2.75313,1.1264,0.0016832,0.0016832,0.0016832
18,3166.13,1.28947,1.6001,1.22063,1.43737,0.71604,0.6785,0.63751,0.34839,0.56331,0.60241,0.43151,0.13838,1.24071,1.04843,3.34047,1.11485,0.0016634,0.0016634,0.0016634
19,3341.07,1.2627,1.61783,1.20924,1.42596,0.66306,0.66667,0.63095,0.36274,0.55759,0.57831,0.43132,0.12805,1.19911,1.03198,3.45232,1.1092,0.0016436,0.0016436,0.0016436
20,3515.87,1.25881,1.60364,1.18259,1.41246,0.64872,0.68273,0.59877,0.34705,0.53131,0.56909,0.39851,0.1147,1.24132,1.06785,3.86313,1.1022,0.0016238,0.0016238,0.0016238
